Cyanobacterium_aponinum	PCC_10605	NR_102443.1	refseq
Cyanobium_gracile	PCC_6307	NR_102447.1	refseq
Cyanobacterium_stanieri	PCC_7202	NR_102450.1	refseq
Anabaena_cylindrica	PCC_7122	NR_102457.1	refseq
Chamaesiphon_minutus	PCC_6605	NR_102459.1	refseq
Cylindrospermum_stagnale	-	NR_102462.1	refseq
Oscillatoria_acuminata	PCC_6304	NR_102463.1	refseq
Chroococcidiopsis_thermalis	PCC_7203	NR_102464.1	refseq
Dactylococcopsis_salina	PCC_8305	NR_102465.1	refseq
Stanieria_cyanosphaera	PCC_7437	NR_102468.1	refseq
Oscillatoria_nigro-viridis	PCC_7112	NR_102469.1	refseq
Nodularia_spumigena	PCC_73104	NR_112106.1	refseq
Fischerella_muscicola	PCC_7414	NR_112107.1	refseq
Chroococcidiopsis_thermalis	PCC_7203	NR_112108.1	refseq
Stanieria_cyanosphaera	PCC_7437	NR_112109.1	refseq
Lyngbya_aestuarii	PCC_7419	NR_112110.1	refseq
Oscillatoria_acuminata	PCC_6304	NR_112111.1	refseq
Oscillatoria_sancta	PCC_7515	NR_112112.1	refseq
Tychonema_bourrellyi	CCAP_1459/11B	NR_112123.1	refseq
Planktothrix_rubescens	CYA_18	NR_112124.1	refseq
Planktothrix_rubescens	CYA_18	NR_112125.1	refseq
Planktothrix_agardhii	NIES-204	NR_112126.1	refseq
Planktothrix_rubescens	CYA_18	NR_112127.1	refseq
Planktothrix_pseudagardhii	T1-8-4	NR_112128.1	refseq
Planktothrix_mougeotii	TR1-5	NR_112129.1	refseq
Acaryochloris_marina	MBIC11017	NR_112154.1	refseq
Oscillatoria_nigro-viridis	PCC_7112	NR_112168.1	refseq
Calothrix_desertica	PCC_7102	NR_112175.1	refseq
Chlorogloeopsis_fritschii	PCC_6912	NR_112176.1	refseq
Fischerella_muscicola	PCC_7414	NR_112177.1	refseq
Fischerella_thermalis	PCC_7521	NR_112178.1	refseq
Lyngbya_aestuarii	PCC_7419	NR_112179.1	refseq
Scytonema_hofmannii	PCC_7110	NR_112180.1	refseq
Chlorogloeopsis_fritschii	PCC_6912	NR_112197.1	refseq
Starria_zimbabweensis	SAG_74.90	NR_112217.1	refseq
Crinalium_epipsammum	SAG_22.89	NR_112218.1	refseq
Aerosakkonema_funiforme	Lao26	NR_114306.1	refseq
Cyanobium_gracile	PCC_6307	NR_114406.1	refseq
Nostoc_punctiforme	PCC73102	NR_114430.1	refseq
Stanieria_cyanosphaera	PCC_7437	NR_114510.1	refseq
Oscillatoria_sancta	PCC_7515	NR_114511.1	refseq
Nodularia_spumigena	PCC73104	NR_114565.1	refseq
Halomicronema_excentricum	TFEP1	NR_114591.1	refseq
Dactylococcopsis_salina	PCC_8305	NR_114679.1	refseq
Lyngbya_aestuarii	PCC_7419	NR_114680.1	refseq
Cylindrospermum_stagnale	PCC_7417	NR_114701.1	refseq
Calothrix_desertica	PCC_7102	NR_114995.1	refseq
Acaryochloris_marina	MBIC11017	NR_115154.1	refseq
Crocosphaera_watsonii	WH_8501	NR_115288.1	refseq
Nodularia_spumigena	PCC_73104	NR_115707.1	refseq
Brasilonema_bromeliae	SPC951	NR_115807.1	refseq
Brasilonema_octagenarum	UFV-E1	NR_115956.1	refseq
Brasilonema_terrestre	CENA116	NR_116034.1	refseq
Moorea_producens	3L	NR_116274.1	refseq
Moorea_producens	3L	NR_116539.1	refseq
Pseudoscillatoria_coralii	BgP10_4S	NR_116573.1	refseq
Calothrix_elsteri	CCALA_953	NR_117190.1	refseq
Hassallia_andreassenii	CCALA_954	NR_117191.1	refseq
Hassallia_antarctica	CCALA_957	NR_117192.1	refseq
Calochaete_cimrmanii	RKST551	NR_117712.2	refseq
Iphinoe_spelaeobios	LO2-B1	NR_117880.1	refseq
Loriellopsis_cavernicola	LF-B5	NR_117881.1	refseq
Mastigocoleus_testarum	BC008	NR_118102.1	refseq
Planktothrix_spiroides	fs1	NR_118104.1	refseq
Brasilonema_tolantongensis	Tolantongo	NR_118308.1	refseq
Limnoraphis_robusta	CCALA_966	NR_118325.1	refseq
Okeania_lorea	FK12-17	NR_118545.1	refseq
Komvophoron_kgarii	Wanggoolba_Creek	NR_118555.1	refseq
Okeania_plumata	FK12-27	NR_118585.1	refseq
Okeania_hirsuta	PAB-10-Feb-10-1	NR_118586.1	refseq
Gloeothece_membranacea	PCC_6501	NR_119092.1	refseq
Gloeobacter_kilaueensis	JS1	NR_121745.1	refseq
Prochlorococcus_marinus	PCC_9511	NR_125480.1	refseq
Synechococcus_rubescens	SAG_3.81	NR_125481.1	refseq
Leptolyngbya_boryana	PCC_6306	NR_125501.1	refseq
Coleofasciculus_chthonoplastes	SAG_2209	NR_125521.1	refseq
Planktothrix_suspensa	SAG_5.81	NR_125522.1	refseq
